title,features,materials,use_cases,price,tags,sku
Magnetic Cable Organizers: Tidy Up Your Cords,"Magnetic design, Easy installation, Versatile use, Durable materials","High-quality plastic, Strong magnets","Organize cables, Reduce clutter, Enhance workspace aesthetics",14.99,"cable-management, office, organization, magnetic, tidy",MCO001
Minimalist Desk Tray: Sleek Essentials Organizer,"Stylish design, Compact size, Multiple compartments, Easy to clean","Wood, Eco-friendly finish","Keep desk tidy, Organize essentials, Enhance workspace style",24.99,"desk-tray, minimalist, office, organization, wood",MDT002
Adjustable Monitor Stand: Ergonomic Screen Elevation,"Height adjustable, Sturdy design, Cable management, Non-slip feet","Metal, Plastic","Improve posture, Free up desk space, Enhance viewing angle",39.99,"monitor-stand, ergonomic, office, adjustable, metal",AMS003
Compact Pen Holder: Stylish Writing Tool Storage,"Space-saving design, Elegant look, Durable construction, Easy access","Ceramic, Felt","Organize pens, Add style to desk, Keep essentials handy",12.99,"pen-holder, office, organization, stylish, compact",CPH004
Wireless Charging Pad: Clutter-Free Device Charging,"Fast charging, Sleek design, Compatible with multiple devices, Non-slip base","Plastic, Silicone","Charge devices wirelessly, Reduce cable clutter, Enhance convenience",29.99,"wireless-charging, tech, office, convenience, sleek",WCP005
Eco-Friendly Notepad: Sustainable Note Taking,"Recycled paper, Biodegradable cover, Compact size, Tear-off pages","Recycled paper, Biodegradable materials","Take notes sustainably, Reduce waste, Ideal for eco-conscious users",9.99,"notepad, eco-friendly, sustainable, office, writing",EPN006
Desk Plant Kit: Bring Nature to Your Workspace,"Easy to care for, Stylish pots, Complete planting kit, Air-purifying plants","Ceramic pots, Soil, Seeds","Enhance workspace aesthetics, Improve air quality, Boost mood",34.99,"desk-plant, office, decor, gardening, nature",DPK007
Foldable Laptop Stand: Ergonomic On-the-Go Solution,"Lightweight, Adjustable height, Portable design, Sturdy support","Aluminum, Silicone","Improve posture, Use anywhere, Enhance laptop cooling",29.99,"laptop-stand, portable, ergonomic, travel, aluminum",FLS008
Multi-Functional Desk Mat: Protect and Enhance,"Dual-sided, Non-slip surface, Easy to clean, Large size","PU leather, Rubber","Protect desk surface, Enhance aesthetics, Create a comfortable workspace",39.99,"desk-mat, multifunctional, office, protection, aesthetics",MDM009
Cable Management Box: Hide Wires with Ease,"Sleek design, Large capacity, Easy access, Ventilated structure","Plastic, Wood finish","Hide unsightly cables, Organize workspace, Prevent tangling",24.99,"cable-management, office, organization, tidy, box",CMB010
